,t,x,y,x0,y0,vx,vy,r,theta,angle
0,0.0,0.6253190652,0.6084265131000001,0.490669711,0.8397169793000001,0.13464935420000002,-0.23129046620000004,0.26762983455042977,-0.5272027472181772,-30.206492363303955
1,0.033366666669999996,0.6252895384,0.6084219094,0.49067236670000003,0.8397443484999999,0.13461717169999998,-0.23132243909999994,0.26764127810874105,-0.5270387260800641,-30.197094644339142
2,0.06673333332999999,0.6237923024,0.6082580999,0.4906694159,0.8397412858,0.13312288650000004,-0.23148318589999994,0.2670321483726366,-0.521899386078826,-29.902632152785444
3,0.1001,0.6199212013000001,0.6057129764,0.4906643088,0.8397359448999999,0.12925689250000005,-0.23402296849999993,0.2673463933631956,-0.5046269992334438,-28.91299728442776
4,0.1334666667,0.6121721465,0.6017095803,0.4906549401,0.8396623542,0.12151720639999997,-0.23795277390000003,0.267185242964436,-0.4721533385128458,-27.052393579797734
5,0.1668333333,0.6044246546,0.5987281196,0.4906623586,0.8396761491,0.11376229600000004,-0.24094802949999994,0.2664541478587347,-0.4411159585538196,-25.274082701001607
6,0.2002,0.5940669931,0.5950993242,0.4906457801,0.8397464768,0.10342121300000001,-0.24464715260000003,0.2656090671902581,-0.39995164559177054,-22.915541301720527
7,0.2335666667,0.5783623887,0.5894289688000001,0.49063731409999994,0.8397614526,0.08772507460000006,-0.25033248379999995,0.2652584422012857,-0.337061620949677,-19.312208316254825
8,0.26693333329999996,0.5571521897999999,0.5826702136,0.4906699222,0.8398101606999999,0.06648226759999992,-0.2571399470999999,0.2655952640764303,-0.253004779131762,-14.496106040889527
9,0.3003,0.5347660321,0.5780655625,0.4906753803,0.8397881164,0.044090651799999936,-0.2617225539,0.2654104006931289,-0.16689626700444557,-9.56245171584323
10,0.3336666667,0.5130204019,0.5751343210000001,0.4906088899,0.8399612222,0.022411511999999967,-0.26482690119999996,0.26577351912732144,-0.08442586034257843,-4.8372454793906545
11,0.3670333333,0.48927370049999996,0.5737194961,0.490610841,0.8399934998999999,-0.0013371405000000558,-0.2662740038,0.2662773611188137,0.005021629004144485,0.2877181482179616
